data_hora,ip,pagina,idioma,resolucio,referer,durada
"2026-01-18 10:06:45","79.117.213.250","pag_principal","es-ES","384x832","","None"
"2026-01-18 09:20:15","186.179.59.184","pag_principal","en-US","800x600","","None"
"2026-01-18 00:00:40","149.57.191.112","pag_principal","en-US","1920x890","","None"
"2026-01-17 23:52:55","40.77.177.75","pag_principal","en-US","800x600","","None"
"2026-01-17 21:08:15","151.115.91.4","pag_principal","en-US","800x600","","None"
"2026-01-17 18:43:53","43.163.23.35","pag_principal","en-US","1280x1200","","None"
"2026-01-17 18:17:07","79.117.112.32","pag_principal","es-ES","1366x768","","None"
"2026-01-16 23:19:13","170.247.221.101","pag_principal","en-US","800x600","","None"
"2026-01-16 22:18:47","170.244.201.117","pag_principal","en-US","1280x1200","","None"
"2026-01-16 09:44:10","170.247.220.57","pag_principal","en-US","800x600","","None"
"2026-01-16 01:52:07","74.125.150.133","pag_principal","en-US","360x600","","None"
"2026-01-16 01:50:27","74.125.150.134","pag_principal","en-US","360x600","","None"
"2026-01-15 19:39:27","43.173.173.22","pag_principal","en-US","1280x1200","","None"
"2026-01-15 18:29:12","66.249.68.135","pag_principal","en-US","1024x1024","","None"
"2026-01-15 17:29:37","54.186.140.1","pag_principal","en-US","800x600","https://www.google.com/","None"
"2026-01-14 22:00:44","205.169.39.13","pag_principal","en-US","800x600","","None"
"2026-01-14 21:59:43","205.169.39.129","pag_principal","en-US","1024x1024","","None"
"2026-01-14 21:59:13","34.123.170.104","pag_principal","en-US","800x600","","None"
"2026-01-13 20:22:03","43.173.182.25","pag_principal","en-US","1280x1200","","None"
"2026-01-13 17:19:43","84.78.248.251","pag_principal","es-ES","430x932","https://www.google.com/","None"
"2026-01-13 14:01:37","94.131.64.8","pag_principal","en-US","800x600","","None"
"2026-01-13 07:59:01","173.252.127.61","pag_principal","en-US","2000x2000","https://www.facebook.com/","None"
"2026-01-13 07:58:58","31.13.115.114","pag_principal","en-US","2000x2000","http://m.facebook.com","None"
"2026-01-13 07:58:41","173.252.127.32","pag_principal","en-US","2000x2000","https://www.facebook.com/","None"
"2026-01-13 07:58:39","31.13.115.7","pag_principal","en-US","412x915","http://m.facebook.com","None"
"2026-01-12 20:33:24","83.46.176.170","pag_principal","es-ES","393x873","","None"
"2026-01-12 19:49:24","62.210.198.205","pag_principal","en-US","800x600","","None"
"2026-01-12 18:38:56","43.173.169.33","pag_principal","en-US","1280x1200","","None"
"2026-01-12 16:27:58","43.173.175.134","pag_principal","en-US","1280x1200","","None"
"2026-01-12 16:22:46","66.249.68.136","pag_principal","en-US","412x732","","None"
"2026-01-12 13:02:10","79.155.115.56","pag_principal","es-ES","1920x1080","https://www.google.es/","None"
"2026-01-11 03:13:13","44.220.249.135","pag_principal","en-US@posix","1280x720","","None"
"2026-01-10 22:15:28","176.83.71.14","amplia","en-GB","390x844","","None"
"2026-01-10 22:15:02","176.83.71.14","matematiques","en-GB","390x844","","None"
"2026-01-10 22:14:58","176.83.71.14","matematiques","en-GB","390x844","","None"
"2026-01-10 22:14:42","176.83.71.14","pag_principal","en-GB","390x844","","None"
"2026-01-10 17:01:56","43.173.181.13","pag_principal","en-US","1280x1200","","None"
"2026-01-10 14:51:51","54.80.69.66","pag_principal","en-US","800x600","","None"
"2026-01-09 19:01:46","43.173.172.112","pag_principal","en-US","1280x1200","","None"
"2026-01-09 14:09:40","66.249.68.132","pag_principal","en-US","412x732","","None"
"2026-01-09 14:09:22","66.249.68.132","pag_principal","en-US","412x732","","None"
"2026-01-08 22:56:47","104.28.34.155","pag_principal","es-MX","393x852","https://www.google.com/","None"
"2026-01-08 21:53:20","62.210.198.161","pag_principal","en-US","800x600","","None"
"2026-01-08 15:44:59","151.27.105.211","amplia","es-ES","1280x720","https://www.google.com/","None"
"2026-01-08 15:44:20","151.27.105.211","angles","es-ES","1280x720","https://www.google.com/","None"
"2026-01-08 15:44:17","151.27.105.211","catala","es-ES","1280x720","https://www.google.com/","None"
"2026-01-08 15:44:12","151.27.105.211","matematiques","es-ES","1280x720","https://www.google.com/","None"
"2026-01-08 15:18:31","151.27.105.211","pag_principal","es-ES","1280x720","https://www.google.com/","None"
"2026-01-08 12:02:37","79.112.12.95","contacte","ca-ES","384x854","android-app://com.google.android.googlequicksearchbox/","None"
"2026-01-08 12:02:35","79.112.12.95","pag_principal","ca-ES","384x854","android-app://com.google.android.googlequicksearchbox/","None"
"2026-01-08 12:01:43","79.112.12.95","pag_principal","ca-ES","384x854","android-app://com.google.android.googlequicksearchbox/","None"
"2026-01-08 11:59:51","79.112.12.95","apps","ca-ES","384x854","android-app://com.google.android.googlequicksearchbox/","None"
"2026-01-08 11:59:45","79.112.12.95","apps","ca-ES","384x854","android-app://com.google.android.googlequicksearchbox/","None"
"2026-01-08 11:59:38","79.112.12.95","probabilitat","ca-ES","384x854","android-app://com.google.android.googlequicksearchbox/","None"
"2026-01-08 11:59:36","79.112.12.95","estadistica","ca-ES","384x854","android-app://com.google.android.googlequicksearchbox/","None"
"2026-01-08 11:59:34","79.112.12.95","trading","ca-ES","384x854","android-app://com.google.android.googlequicksearchbox/","None"
"2026-01-08 11:59:32","79.112.12.95","python","ca-ES","384x854","android-app://com.google.android.googlequicksearchbox/","None"
"2026-01-08 11:59:29","79.112.12.95","cpp","ca-ES","384x854","android-app://com.google.android.googlequicksearchbox/","None"
"2026-01-08 11:59:27","79.112.12.95","historia","ca-ES","384x854","android-app://com.google.android.googlequicksearchbox/","None"
"2026-01-08 11:59:25","79.112.12.95","biologia","ca-ES","384x854","android-app://com.google.android.googlequicksearchbox/","None"
"2026-01-08 11:59:23","79.112.12.95","catala","ca-ES","384x854","android-app://com.google.android.googlequicksearchbox/","None"
"2026-01-08 11:59:20","79.112.12.95","castella","ca-ES","384x854","android-app://com.google.android.googlequicksearchbox/","None"
"2026-01-08 11:59:17","79.112.12.95","angles","ca-ES","384x854","android-app://com.google.android.googlequicksearchbox/","None"
"2026-01-08 11:59:14","79.112.12.95","matematiques","ca-ES","384x854","android-app://com.google.android.googlequicksearchbox/","None"
"2026-01-08 11:59:11","79.112.12.95","catala","ca-ES","384x854","android-app://com.google.android.googlequicksearchbox/","None"
"2026-01-08 11:59:03","79.112.12.95","matematiques","ca-ES","384x854","android-app://com.google.android.googlequicksearchbox/","None"
"2026-01-08 11:58:47","79.112.12.95","pag_principal","ca-ES","384x854","android-app://com.google.android.googlequicksearchbox/","None"
"2026-01-08 11:23:48","151.27.105.211","pag_principal","es-ES","1280x720","https://www.google.com/","None"
"2026-01-07 19:05:40","66.220.149.10","pag_principal","en-US","2000x2000","https://www.facebook.com/","None"
"2026-01-07 19:05:21","66.220.149.115","pag_principal","en-US","2000x2000","https://www.facebook.com/","None"
"2026-01-06 22:50:24","43.173.173.135","pag_principal","en-US","1280x1200","","None"
"2026-01-06 13:56:56","85.49.97.8","pag_principal","es-ES","402x874","","None"
"2026-01-06 12:41:36","79.154.111.165","pag_principal","es-ES","432x960","https://www.google.com/","None"
"2026-01-06 12:41:12","79.154.111.165","follow","es-ES","402x874","","None"
"2026-01-06 12:41:10","79.154.111.165","reforç","es-ES","402x874","","None"
"2026-01-06 12:41:01","79.154.111.165","contacte","es-ES","402x874","","None"
"2026-01-06 12:41:00","79.154.111.165","equip","es-ES","402x874","","None"
"2026-01-06 12:40:53","79.154.111.165","amplia","es-ES","402x874","","None"
"2026-01-06 12:39:45","79.154.111.165","pag_principal","es-ES","402x874","","None"
"2026-01-06 12:23:52","79.154.111.165","contacte","es-ES","402x874","https://www.google.com/","None"
"2026-01-06 12:23:50","79.154.111.165","equip","es-ES","402x874","https://www.google.com/","None"
"2026-01-06 12:22:59","79.154.111.165","pag_principal","es-ES","402x874","https://www.google.com/","None"
"2026-01-05 22:15:03","66.249.68.132","pag_principal","en-US","412x732","","None"
"2026-01-05 19:30:56","66.249.68.132","pag_principal","en-US","1024x1024","","None"
"2026-01-05 18:06:18","43.173.181.43","pag_principal","en-US","1280x1200","","None"
"2026-01-05 16:53:46","193.34.73.140","pag_principal","en-US","800x600","","None"
"2026-01-05 15:05:24","66.249.68.132","pag_principal","en-US","412x732","","None"
"2026-01-05 14:09:51","66.249.68.132","pag_principal","en-US","412x732","","None"
"2026-01-05 10:41:06","178.198.78.119","pag_principal","en","1920x1080","","None"
"2026-01-05 05:10:36","43.163.22.77","pag_principal","en-US","1280x1200","","None"
"2026-01-04 18:07:28","51.159.109.199","pag_principal","en-US","800x600","","None"
"2026-01-04 17:54:55","43.173.174.91","pag_principal","en-US","1280x1200","","None"
"2026-01-04 12:17:01","92.184.119.216","pag_principal","es-FR","360x780","https://www.google.com/","None"
"2026-01-04 11:50:31","79.117.89.234","pag_principal","ca-ES","378x840","","None"
"2026-01-04 03:21:01","173.252.87.18","pag_principal","en-US","2000x2000","http://m.facebook.com","None"
"2026-01-04 03:20:39","173.252.87.13","pag_principal","en-US","412x915","http://m.facebook.com","None"
"2026-01-03 17:08:00","13.218.25.124","pag_principal","en-US@posix","1280x720","","None"
"2026-01-03 11:41:07","43.173.180.21","pag_principal","en-US","1280x1200","","None"
"2026-01-02 08:24:26","66.249.68.134","pag_principal","en-US","412x732","","None"
"2026-01-02 07:08:20","65.55.210.225","pag_principal","en-US","800x600","","None"
"2026-01-01 23:16:27","79.154.33.222","pag_principal","en-GB","390x844","https://www.google.com/","None"
"2026-01-01 22:26:07","79.154.33.222","pag_principal","en-GB","390x844","https://www.google.com/","None"
"2026-01-01 22:25:30","79.154.33.222","pag_principal","en-GB","390x844","https://www.google.com/","None"
"2026-01-01 15:44:58","43.173.178.246","pag_principal","en-US","1280x1200","","None"
"2025-12-31 23:44:59","74.220.52.2","pag_principal","en-US","800x600","","None"
"2025-12-31 20:31:34","173.252.82.5","pag_principal","en-US","2000x2000","https://www.facebook.com/","None"
"2025-12-31 20:31:14","173.252.82.20","pag_principal","en-US","2000x2000","https://www.facebook.com/","None"
"2025-12-31 20:19:09","170.246.54.144","pag_principal","en-US","800x600","","None"
"2025-12-31 18:50:09","66.249.68.134","pag_principal","en-US","412x732","","None"
"2025-12-31 17:45:36","43.173.182.141","pag_principal","en-US","1280x1200","","None"
"2025-12-31 06:30:35","31.221.188.193","pag_principal","es-ES","686x1098","https://www.google.com/","None"
"2025-12-30 18:43:33","186.179.59.190","pag_principal","en-US","800x600","","None"
"2025-12-30 17:43:13","43.173.172.227","pag_principal","en-US","1280x1200","","None"
"2025-12-30 17:37:45","66.249.68.134","pag_principal","en-US","412x732","","None"
"2025-12-29 19:57:04","83.46.177.132","matematiques","es-ES","1536x864","https://www.google.com/","None"
"2025-12-29 19:56:51","83.46.177.132","pag_principal","es-ES","1536x864","https://www.google.com/","None"
"2025-12-29 16:28:11","43.173.178.203","pag_principal","en-US","1280x1200","","None"
"2025-12-28 17:27:51","43.173.174.245","pag_principal","en-US","1280x1200","","None"
"2025-12-28 15:30:24","173.252.82.26","pag_principal","en-US","2000x2000","https://www.facebook.com/","None"
"2025-12-28 15:30:04","173.252.82.4","pag_principal","en-US","2000x2000","https://www.facebook.com/","None"
"2025-12-28 08:36:37","170.247.222.73","pag_principal","en-US","800x600","","None"
"2025-12-27 17:41:11","43.173.181.46","pag_principal","en-US","1280x1200","","None"
"2025-12-26 17:54:35","43.173.177.74","pag_principal","en-US","1280x1200","","None"
"2025-12-26 06:36:56","66.249.68.135","pag_principal","en-US","412x732","","None"
"2025-12-25 13:05:16","66.220.149.29","pag_principal","en-US","2000x2000","https://www.facebook.com/","None"
"2025-12-25 13:04:58","66.220.149.27","pag_principal","en-US","2000x2000","https://www.facebook.com/","None"
"2025-12-24 16:45:04","43.173.173.65","pag_principal","en-US","1280x1200","","None"
"2025-12-24 16:09:19","66.249.68.134","pag_principal","en-US","412x732","","None"
"2025-12-23 16:26:39","43.173.182.93","pag_principal","en-US","1280x1200","","None"
"2025-12-23 15:00:02","83.45.18.246","follow","es","1280x720","https://www.google.com/","None"
"2025-12-23 14:59:02","83.45.18.246","estiu","es","1280x720","https://www.google.com/","None"
"2025-12-23 14:59:00","83.45.18.246","reforç","es","1280x720","https://www.google.com/","None"
"2025-12-23 14:58:59","83.45.18.246","intro","es","1280x720","https://www.google.com/","None"
"2025-12-23 14:58:40","83.45.18.246","contacte","es","1280x720","https://www.google.com/","None"
"2025-12-23 14:58:39","83.45.18.246","equip","es","1280x720","https://www.google.com/","None"
"2025-12-23 14:57:30","83.45.18.246","reforç","es","1280x720","https://www.google.com/","None"
"2025-12-23 14:57:28","83.45.18.246","estiu","es","1280x720","https://www.google.com/","None"
"2025-12-23 14:56:35","83.45.18.246","amplia","es","1280x720","https://www.google.com/","None"
"2025-12-23 14:56:21","83.45.18.246","pag_principal","es","1280x720","https://www.google.com/","None"
"2025-12-23 07:08:14","205.169.39.22","pag_principal","en-US","800x600","","None"
"2025-12-22 01:50:16","40.77.179.230","pag_principal","en-US","800x600","","None"
"2025-12-21 19:05:44","62.210.198.165","pag_principal","en-US","800x600","","None"
"2025-12-21 12:57:43","54.159.150.67","pag_principal","en-US@posix","1280x720","","None"
"2025-12-20 22:10:52","185.238.231.34","pag_principal","en-US","1053x592","","None"
"2025-12-20 14:58:33","43.173.180.205","pag_principal","en-US","1280x1200","","None"
"2025-12-20 09:59:28","31.13.127.3","pag_principal","en-US","2000x2000","http://m.facebook.com","None"
"2025-12-20 09:59:25","173.252.127.61","pag_principal","en-US","2000x2000","https://www.facebook.com/","None"
"2025-12-20 09:59:06","173.252.127.11","pag_principal","en-US","2000x2000","https://www.facebook.com/","None"
"2025-12-20 09:59:05","31.13.127.5","pag_principal","en-US","412x915","http://m.facebook.com","None"
"2025-12-20 09:09:04","66.249.68.134","pag_principal","en-US","412x732","","None"
"2025-12-19 12:23:07","43.173.177.145","pag_principal","en-US","1280x1200","","None"
"2025-12-18 19:30:23","66.249.68.134","pag_principal","en-US","412x732","","None"
"2025-12-18 16:04:29","43.173.179.117","pag_principal","en-US","1280x1200","","None"
"2025-12-17 15:49:18","43.173.169.211","pag_principal","en-US","1280x1200","","None"
"2025-12-16 21:51:50","173.252.87.116","pag_principal","en-US","2000x2000","https://www.facebook.com/","None"
"2025-12-16 21:51:31","173.252.87.4","pag_principal","en-US","2000x2000","https://www.facebook.com/","None"
"2025-12-16 20:42:32","173.252.127.17","pag_principal","en-US","2000x2000","https://www.facebook.com/","None"
"2025-12-16 20:42:16","173.252.127.20","pag_principal","en-US","2000x2000","https://www.facebook.com/","None"
"2025-12-16 15:48:04","43.173.176.238","pag_principal","en-US","1280x1200","","None"
"2025-12-16 02:36:00","154.38.165.41","pag_principal","en-US","1280x720","","None"
"2025-12-16 02:35:32","154.38.165.41","pag_principal","en-US","1280x720","","None"
"2025-12-15 15:52:36","202.8.41.124","pag_principal","en-US","800x600","","None"
"2025-12-15 12:10:51","43.173.169.93","pag_principal","en-US","1280x1200","","None"
"2025-12-15 08:20:43","83.50.65.230","contacte","es-ES","1920x1200","","None"
"2025-12-15 08:20:42","83.50.65.230","follow","es-ES","1920x1200","","None"
"2025-12-15 08:20:38","83.50.65.230","contacte","es-ES","1920x1200","","None"
"2025-12-15 08:20:32","83.50.65.230","amplia","es-ES","1920x1200","","None"
"2025-12-15 08:20:24","83.50.65.230","reforç","es-ES","1920x1200","","None"
"2025-12-15 08:20:05","83.50.65.230","estiu","es-ES","1920x1200","","None"
"2025-12-15 08:20:04","83.50.65.230","intro","es-ES","1920x1200","","None"
"2025-12-15 08:19:54","83.50.65.230","reforç","es-ES","1920x1200","","None"
"2025-12-15 08:19:28","83.50.65.230","equip","es-ES","1920x1200","","None"
"2025-12-15 08:19:19","83.50.65.230","pag_principal","es-ES","1920x1200","","None"
"2025-12-14 18:00:59","81.21.229.127","pag_principal","en-US","800x600","","None"
"2025-12-14 16:36:05","212.230.152.70","pag_principal","en-US","320x480","https://www.google.com/","None"
"2025-12-14 16:35:03","79.154.218.172","cpp","ru","375x812","https://www.google.com/","None"
"2025-12-14 16:34:57","79.154.218.172","matematiques","ru","375x812","https://www.google.com/","None"
"2025-12-14 16:34:50","79.154.218.172","matematiques","ru","375x812","https://www.google.com/","None"
"2025-12-14 16:34:48","212.142.160.4","pag_principal","en-US","320x568","https://www.google.com/","None"
"2025-12-14 16:34:39","79.154.218.172","pag_principal","ru","375x812","https://www.google.com/","None"
"2025-12-14 11:58:24","43.173.182.29","pag_principal","en-US","1280x1200","","None"
"2025-12-14 07:50:32","170.254.178.3","pag_principal","en-US","800x600","","None"
"2025-12-14 06:06:52","66.249.68.134","pag_principal","en-US","412x732","","None"
